nodes,ppn,threads,80x64,160x128,320x256,640x512,1280x1024,2560x2048,5120x4096
1,1,4,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1,2,2,1.76,1.40,2.81,1.25,3.75,1.24,1.21
1,2,4,1.76,1.82,1.48,1.21,1.43,1.23,1.21
2,2,8,0.22,0.83,1.38,0.76,7.31,9.57,0.61
2,4,4,0.18,0.71,3.63,5.15,7.32,9.60,5.56
2,8,2,0.18,0.34,5.48,7.84,3.97,5.01,10.83
2,8,4,0.20,0.72,4.71,8.90,0.72,0.63,10.88
8,32,2,0.05,0.01,0.07,0.39,0.86,3.52,10.48
8,32,4,0.04,0.01,0.05,0.28,0.44,1.30,3.83
8,16,4,0.00,0.01,0.05,0.21,0.47,1.52,5.61
8,8,8,0.03,0.05,0.28,1.37,3.17,8.34,12.98
16,64,2,0.00,0.00,0.02,0.13,0.39,1.76,6.65
16,64,4,0.00,0.00,0.02,0.11,0.32,1.18,2.91
16,32,4,0.00,0.00,0.02,0.07,0.28,1.17,3.57
16,16,8,0.02,0.00,0.02,0.10,0.27,1.45,2.81
